bmi,height,weight
26.1,172.3,77.5
29.5,172.6,88.0
25.2,170.6,73.5
22.9,173.0,68.6
21.4,172.1,63.6
20.9,183.0,70.3
25.4,173.8,76.8
26.0,172.3,77.4
20.8,173.6,62.7
22.9,173.3,68.8
24.1,169.8,69.6
20.3,181.1,66.6
16.4,169.5,47.4
21.1,174.2,64.2
22.0,171.0,64.6
25.2,167.9,71.3
17.2,180.0,55.9
43.6,179.3,140.3
23.3,179.3,75.2
31.0,180.1,100.8
23.6,180.9,77.3
22.7,179.2,72.9
22.5,177.4,71.0
15.4,179.7,49.8
20.0,173.6,60.3
24.1,168.5,68.5
50.4,183.6,170.1
39.7,193.2,148.4
17.4,172.8,52.1
24.9,180.9,81.8
27.7,178.3,88.2
21.6,180.0,70.3
27.3,178.7,87.4
28.8,178.6,92.1
26.7,159.7,68.3
21.9,162.2,57.8
37.8,178.2,120.1
21.7,172.8,64.9
32.6,176.5,101.7
25.5,181.5,84.1
18.9,177.9,60.0
23.6,169.9,68.4
23.0,173.3,69.2
27.7,180.1,90.0
27.3,168.0,77.1
33.0,181.3,108.6
27.4,178.5,87.5
28.8,193.0,107.5
22.0,177.6,69.6
22.7,175.1,69.7
28.8,173.3,86.5
21.3,173.4,64.3
27.2,177.6,86.0
19.9,176.2,61.9
27.9,171.9,82.5
20.0,168.1,56.7
20.6,162.3,54.5
25.0,169.5,71.9
24.0,182.8,80.5
26.3,173.8,79.6
22.1,175.9,68.6
26.0,165.4,71.2
31.2,173.3,93.8
20.8,182.3,69.4
17.4,168.7,49.6
22.9,178.5,73.1
28.2,174.3,85.9
27.5,181.0,90.3
21.3,165.0,58.0
19.5,173.4,58.7
27.6,177.2,86.9
20.5,173.8,62.1
17.5,174.3,53.4
20.1,175.4,61.9
21.4,169.6,61.6
17.4,175.0,53.3
25.0,172.0,74.1
21.0,170.8,61.4
27.1,167.9,76.4
20.5,182.9,68.9
20.9,171.9,62.0
29.1,165.7,80.1
23.5,171.5,69.3
27.1,174.8,82.9
20.2,185.4,69.6
22.7,172.7,67.8
23.0,179.7,74.4
19.5,174.6,59.5
21.3,174.7,65.1
23.9,168.2,67.8
31.6,170.3,91.8
29.8,175.2,91.7
22.9,179.5,73.9
25.5,176.7,79.9
28.0,169.2,80.3
22.6,172.2,67.2
18.6,173.9,56.5
23.7,178.7,75.9
24.4,176.1,75.9
23.7,174.8,72.6
29.3,170.3,85.1
19.0,184.3,64.8
21.0,173.1,63.0
19.7,174.6,60.3
18.0,174.2,54.8
19.0,167.9,53.6
16.4,161.6,42.9
18.1,176.5,56.6
24.6,176.1,76.3
21.0,183.2,70.7
33.0,175.2,101.4
17.9,185.2,61.4
18.7,176.1,58.0
23.8,173.2,71.5
21.0,171.7,62.0
24.7,170.2,71.7
24.4,173.6,73.8
23.0,167.5,64.8
24.5,177.6,77.3
24.2,181.5,79.9
28.4,171.7,84.0
28.7,169.7,82.8
23.3,176.2,72.6
18.5,176.5,57.9
21.4,169.0,61.2
21.0,167.6,59.2
25.8,178.7,82.4
20.9,169.3,60.1
22.9,171.0,67.1
21.6,165.5,59.2
20.8,173.5,62.8
18.8,173.1,56.6
25.1,167.8,70.8
22.5,178.1,71.4
19.3,173.3,58.0
26.9,176.5,83.8
21.5,182.0,71.4
19.4,175.1,59.5
21.7,169.3,62.2
20.0,178.3,63.6
19.7,172.9,58.9
18.0,184.6,61.4
24.8,171.0,72.6
29.2,183.9,98.8
22.3,167.1,62.3
20.9,172.3,62.3
18.6,175.5,57.5
20.4,165.9,56.4
26.2,174.6,80.0
22.9,172.1,67.9
32.8,169.6,94.5
25.6,174.6,78.2
27.1,173.1,81.4
26.3,176.5,82.1
26.1,177.5,82.4
31.1,173.5,93.9
25.9,179.5,83.6
26.7,175.5,82.4
26.7,173.4,80.4
22.9,171.2,67.4
19.2,175.3,59.1
23.4,178.3,74.6
23.3,178.8,74.5
25.2,173.8,76.2
21.4,173.7,64.8
22.8,177.5,72.1
17.0,177.3,53.6
22.3,167.9,62.9
22.6,171.2,66.4
20.6,174.3,62.6
22.2,167.9,62.6
25.7,175.4,79.3
21.6,177.7,68.4
27.0,176.0,83.7
23.9,172.6,71.2
24.7,174.1,75.0
25.7,180.0,83.4
19.0,175.4,58.5
20.9,173.8,63.2
30.6,182.9,102.4
26.2,170.2,75.9
22.2,168.4,63.2
34.8,176.1,108.1
27.1,172.8,81.1
26.0,187.8,92.0
27.4,171.2,80.6
21.7,158.8,54.8
25.3,169.2,72.6
21.6,169.5,62.1
16.0,166.6,44.6
20.5,171.8,60.6
21.7,175.3,66.9
19.4,172.3,57.8
17.7,173.8,53.7
26.6,173.4,80.2
22.7,173.6,68.7
29.5,181.4,97.2
24.2,170.8,70.8
18.3,171.8,54.3
19.5,171.1,57.1
23.7,169.0,67.9
23.1,178.0,73.2
17.8,171.4,52.4
23.7,173.8,71.7
21.8,166.4,60.4
25.3,165.4,69.3
26.9,170.5,78.3
30.9,169.1,88.4
33.0,174.9,101.0
20.9,178.4,66.6
26.7,178.2,84.9
37.3,188.5,132.6
24.8,176.3,77.1
25.9,173.6,78.2
20.3,179.7,65.6
24.3,175.9,75.4
25.0,185.6,86.3
21.6,173.0,64.8
22.5,181.4,74.1
20.3,187.0,71.1
18.6,172.7,55.5
14.8,165.4,40.6
28.4,185.9,98.3
24.4,181.9,80.9
21.5,171.6,63.4
26.6,182.5,88.9
22.5,186.0,78.1
22.4,162.9,59.5
18.7,176.6,58.4
21.0,180.8,68.9
23.7,164.0,63.9
24.0,186.5,83.8
21.9,171.3,64.3
18.4,178.7,59.0
29.1,173.1,87.2
23.5,178.5,74.9
21.4,173.0,64.1
28.0,170.4,81.5
22.6,174.2,68.6
27.9,179.6,90.2
20.6,167.9,58.1
23.2,179.3,74.8
23.7,178.2,75.5
24.8,157.4,61.6
22.3,170.5,64.9
21.7,167.3,61.0
27.3,180.3,88.9
20.4,188.9,73.0
18.4,186.0,63.9
24.8,171.4,73.1
25.1,183.1,84.2
22.9,175.8,70.9
25.9,180.1,84.2
23.8,164.7,64.8
40.4,166.2,111.7
22.8,170.9,66.7
23.8,168.5,67.6
23.7,170.4,69.0
19.7,174.6,60.3
28.7,180.5,93.8
23.4,171.5,68.9
19.2,179.4,62.1
24.1,170.9,70.4
25.5,174.7,78.1
34.0,176.1,105.6
22.2,163.9,59.9
19.9,171.0,58.3
31.9,179.9,103.3
20.4,186.8,71.3
21.3,170.6,62.1
22.4,170.5,65.4
20.4,176.3,63.7
22.9,175.1,70.4
29.9,180.4,97.6
20.2,177.9,64.1
23.7,180.8,77.7
23.9,179.3,77.0
22.0,175.5,68.0
24.9,184.9,85.2
18.8,167.5,53.0
28.0,174.0,84.9
21.7,171.8,64.2
20.7,172.9,61.9
19.1,163.3,51.0
23.9,168.1,67.6
23.0,172.8,68.7
19.4,177.3,61.2
25.0,173.0,75.0
17.6,183.4,59.5
25.6,177.1,80.3
28.5,175.0,87.3
33.3,171.6,98.2
20.6,180.0,66.8
35.6,171.3,104.7
22.4,171.5,65.9
23.4,191.4,85.9
19.4,169.6,56.0
28.2,178.7,90.2
27.3,171.1,80.2
18.9,181.7,62.6
20.2,185.7,70.0
24.6,168.4,69.9
20.1,177.2,63.3
17.8,168.3,50.5
23.2,175.8,72.0
20.6,167.2,57.7
33.7,190.0,121.7
26.8,173.7,81.1
31.6,170.5,92.1
22.4,183.3,75.5
20.7,175.6,63.9
24.7,175.0,75.8
23.0,168.4,65.3
19.9,176.5,62.2
18.9,181.0,62.0
25.3,170.2,73.4
22.2,176.8,69.6
21.1,181.6,69.9
20.4,177.2,64.3
23.3,181.3,76.8
23.0,176.9,72.0
21.9,170.5,63.8
24.5,175.0,75.1
20.9,179.2,67.2
20.9,165.1,57.1
35.8,177.8,113.4
31.4,178.7,100.4
21.3,185.2,73.3
20.6,177.4,64.9
20.5,183.1,69.0
23.2,178.7,74.4
18.9,157.8,47.2
20.5,169.3,58.9
20.8,181.8,68.9
18.9,177.4,59.5
18.7,173.2,56.2
26.1,176.2,81.2
22.3,181.4,73.5
24.6,172.0,73.0
22.4,173.8,67.8
24.5,177.0,77.0
23.3,175.3,71.9
36.5,177.1,114.6
23.2,172.5,69.1
18.5,170.0,53.5
20.1,176.0,62.5
20.9,166.7,58.3
21.2,178.4,67.5
